GHO;Indicator;PUBLISH STATES;Year;WHO region;Country;Age Group;Sex;Display Value;Numeric Value;Low Value;High Value;Comments
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1999;Europe;Austria;20+;Male;25.8 [24.3-27.2];25.8;24.3;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Europe;Austria;20+;Male;26.3 [24.6-27.9];26.3;24.6;27.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1980;Europe;Azerbaijan;20+;Male;24.4 [22.0-26.8];24.4;22;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1985;Europe;Azerbaijan;20+;Male;24.6 [22.8-26.5];24.6;22.8;26.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;Europe;Azerbaijan;20+;Male;24.7 [23.0-26.4];24.7;23;26.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;Europe;Azerbaijan;20+;Male;24.7 [23.4-25.9];24.7;23.4;25.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;Europe;Azerbaijan;20+;Male;24.5 [23.3-25.7];24.5;23.3;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;Europe;Azerbaijan;20+;Male;24.8 [24.0-25.5];24.8;24;25.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2005;Europe;Azerbaijan;20+;Male;25.1 [24.4-25.7];25.1;24.4;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1982;Americas;Bahamas;20+;Male;24.4 [22.0-26.9];24.4;22;26.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Americas;Bahamas;20+;Male;24.6 [22.3-27.0];24.6;22.3;27;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1986;Americas;Bahamas;20+;Male;24.9 [22.6-27.2];24.9;22.6;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1991;Americas;Bahamas;20+;Male;25.4 [23.2-27.6];25.4;23.2;27.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Americas;Bahamas;20+;Male;25.5 [23.4-27.7];25.5;23.4;27.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Americas;Bahamas;20+;Male;26.3 [24.2-28.4];26.3;24.2;28.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2002;Americas;Bahamas;20+;Male;26.6 [24.4-28.7];26.6;24.4;28.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2007;Americas;Bahamas;20+;Male;27.3 [25.0-29.5];27.3;25;29.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Eastern Mediterranean;Bahrain;20+;Male;24.0 [22.3-25.6];24;22.3;25.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1983;Eastern Mediterranean;Bahrain;20+;Male;24.3 [22.8-25.7];24.3;22.8;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1988;Eastern Mediterranean;Bahrain;20+;Male;24.8 [23.8-25.8];24.8;23.8;25.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Eastern Mediterranean;Bahrain;20+;Male;25.1 [24.2-25.9];25.1;24.2;25.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Eastern Mediterranean;Bahrain;20+;Male;26.2 [25.5-26.8];26.2;25.5;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1999;Eastern Mediterranean;Bahrain;20+;Male;26.5 [25.8-27.1];26.5;25.8;27.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Eastern Mediterranean;Bahrain;20+;Male;27.5 [26.5-28.5];27.5;26.5;28.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1980;South-East Asia;Bangladesh;20+;Male;20.5 [18.4-22.5];20.5;18.4;22.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1985;South-East Asia;Bangladesh;20+;Male;20.3 [18.8-21.7];20.3;18.8;21.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;South-East Asia;Bangladesh;20+;Male;20.2 [18.9-21.5];20.2;18.9;21.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;South-East Asia;Bangladesh;20+;Male;20.1 [19.1-21.1];20.1;19.1;21.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;South-East Asia;Bangladesh;20+;Male;20.1 [19.2-21.1];20.1;19.2;21.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;South-East Asia;Bangladesh;20+;Male;20.3 [19.2-21.3];20.3;19.2;21.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2005;South-East Asia;Bangladesh;20+;Male;20.3 [19.1-21.5];20.3;19.1;21.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1982;Americas;Barbados;20+;Male;24.5 [23.2-25.8];24.5;23.2;25.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Americas;Barbados;20+;Male;24.6 [23.6-25.6];24.6;23.6;25.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1991;Americas;Barbados;20+;Male;25.0 [24.3-25.7];25;24.3;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Americas;Barbados;20+;Male;25.1 [24.4-25.8];25.1;24.4;25.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Americas;Barbados;20+;Male;25.7 [24.6-26.7];25.7;24.6;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2002;Americas;Barbados;20+;Male;25.9 [24.7-27.0];25.9;24.7;27;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2007;Americas;Barbados;20+;Male;26.5 [24.9-28.0];26.5;24.9;28;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Europe;Belarus;20+;Male;24.8 [22.4-27.4];24.8;22.4;27.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1988;Europe;Belarus;20+;Male;24.9 [22.7-27.2];24.9;22.7;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Europe;Belarus;20+;Male;25.0 [22.8-27.2];25;22.8;27.2;
